 1982 1.248 64988  41587 0.0439
 1983 1.403  1019  64862   0.14
 1984 1.538  1390  73625 0.0417
 1985 2.383  1545  80551 0.0703
 1986 3.268  2930 105665 0.0404
 1987 3.888  5651 157240 0.0335
 1988 4.381   787 188100 0.0451
 1989 3.873   842 268867 0.0668
 1990 3.346   809 373463 0.1188
 1991 3.196  2247 333555 0.0947
 1992 2.526 13741 370550 0.1192
 1993 2.268   468 433145 0.1687
 1994 1.762  2467 388875 0.1848
 1995 1.552     .      . 0.1623
 1996 1.428     .      .      .
