 1986   . 2284  .  .
 1987   .  454  .  .
 1988 8.5  359  .  .
 1989 5.8  309  .  .
 1990 5.3  736  .  .
 1991 5.7    9  .  .
 1992 3.6   34  .  .
 1993 5.0   19  .  .
 1994 5.0   28  .  .
 1995 4.3    .  .  .
 1996 2.9    .  .  .
