1982  8007 3733 . 0.28
1983  9446 7479 . 0.79
1984  6843 2718 . 0.90
1985  4553 2824 . 0.18
1986  7006 3806 . 0.77
1987  4843 4614 . 1.12 
1988  2512 3556 . 0.44
1989  2664 3237 . 1.17
1990  1434 2494 . 0.95
1991  1124 1663 . 0.73
1992   .    .   . 1.89
1993  .     .   . 0.69
