 1974 1724526 16656552
 1975 1646222 34064064
 1976 1456164 20085612
 1977 1539635 22903600
 1978 1485624 18595330
 1979 1412721 25140724
 1980 1288529 35766780
 1981 1214674 36710608
 1982 1285332 30112972
 1983 1266200 34507936
 1984 1131884 24980896
 1985 1077111 12236308
 1986 1038813 25853534
 1987  984630 10140238
 1988 1064955 15871816
 1989  932271 22037540
 1990  867035 17887952
 1991  816691 22188994
 1992  858718 19991404
 1993  848661 17260624
 1994  856944 24721174
 1995  734473 23292216
 1996  665395 15355740
 1997  612688 28300712
